prior,model,RMSE,Rel_L2
Gaussian,MLP,0.3661154811045142,0.6472068484659432
Gaussian,CNN,0.3711867940062723,0.6561717478218233
Gaussian,DeepONet_MLP_Fourier,0.3691341339162799,0.6525431231490617
Gaussian,MAP,0.3618896667101451,0.639736593430208
Gaussian,Sample_Mean,0.5657895131073746,1.000184003606149
Laplace,MLP,0.3564189896805367,0.630065711366914
Laplace,CNN,0.3561324782686601,0.6295592259613509
Laplace,DeepONet_MLP_Fourier,0.35908545491242894,0.634779400485087
Laplace,MAP,0.3618896667101451,0.639736593430208
Laplace,Sample_Mean,0.5653850002541965,0.9994689191522504
TV,MLP,0.2928133288588608,0.5176257261447677
TV,CNN,0.2663797993561217,0.47089740623956394
TV,DeepONet_MLP_Fourier,0.3025046696838821,0.5347577581851742
TV,MAP,0.3618896667101451,0.639736593430208
TV,Sample_Mean,0.5655685218356368,0.9997933425390767
Uniform,MLP,0.3594458124143103,0.6354164285681662
Uniform,CNN,0.3574427376936769,0.6318754592727083
Uniform,DeepONet_MLP_Fourier,0.36280874235618205,0.6413613049845482
Uniform,MAP,0.3618896667101451,0.639736593430208
Uniform,Sample_Mean,0.5656374725079207,0.9999152312589253
